order_id,product_id,quantity,unit_price,discount_amount
O000030,P00045,1,518.53,118.73
O000030,P00037,1,533.51,69.81
O000030,P00011,2,492.73,5.31
O000030,P00010,2,565.11,158.32
O000050,P00057,3,511.01,102.61
O000050,P00027,,22.47,5.57
,P00002,3,341.27,70.22
O000089,P00047,2,528.17,83.42
O000089,P00027,2,27.89,2.15
O000020,P00055,2,271.05,22.51
O000091,P00019,1,339.2,56.33
O000028,P00023,3,496.62,103.61
O000028,P00054,3,653.21,27.48
O000028,P00014,1,286.98,7.09
O000009,P00060,1,185.36,13.92
O000054,P00051,1,469.89,41.79
O000054,P00058,2,449.51,63.85
O000053,P00057,3,704.34,15.77
O000053,P00059,1,557.12,5.29
O000043,P00054,3,100.25,11.8
O000043,P00001,3,282.26,44.28
O000043,P00056,1,509.42,137.24
O000043,P00019,2,440.92,89.54
O000070,P00022,2,690.98,108.17
O000070,P00019,1,413.43,94.86
O000070,P00016,2,783.71,74.66
O000070,P00045,1,395.3,14.95
O000060,P00016,2,164.26,10.47
O000060,P00006,1,775.99,206.99
O000060,P00003,3,672.92,99.74
O000103,P00012,2,701.32,5.75
O000103,P00027,3,486.95,117.75
O000103,P00045,3,475.17,126.14
O000103,P00059,1,771.8,133.17
O000008,P00027,3,81.83,14.56
O000008,P00006,2,720.15,13.25
O000008,P00032,3,394.1,59.34
O000027,P00058,2,794.84,112.88
O000027,P00003,1,727.93,137.75
O000027,P00004,2,301.88,33.84
O000027,P00010,3,118.44,8.29
O000098,P00046,3,652.4,81.16
O000098,P00015,2,347.85,75.88
O000098,P00034,2,752.33,63.52
O000098,P00006,3,207.82,29.3
O000109,P00038,1,795.63,6.79
O000075,P00042,1,220.32,34.47
O000090,P00015,3,18.97,2.02
O000090,,2,699.43,47.98
O000003,P00022,2,746.08,148.33
O000003,P00050,1,684.78,111.44
O000074,P00053,3,494.45,84.76
O000074,P00006,1,254.78,6.62
O000074,P00044,2,280.21,75.06
O000074,P00053,1,230.08,43.12
O000049,P00044,2,320.9,36.47
O000049,P00045,1,399.38,110.68
O000049,P00035,3,569.46,153.62
O000062,P00038,0,321.98,R$10
O000062,P00033,2,703.4,126.15
O000001,P00021,1,127.66,10.05
O000001,P00001,3,353.43,31.4
O000001,P00017,3,709.22,204.94
O000046,P00027,2,415.03,71.56
O000046,P00025,1,542.85,57.9
O000046,P00058,3,372.93,52.5
O000046,P00013,1,606.99,37.45
